4K频道,#genre#
湖南金鹰纪实,http://10.0.0.26:35455/itv/5000000011000031203.m3u8?cdn=bestzb
湖南,http://10.0.0.26:35455/itv/5000000011000031206.m3u8?cdn=bestzb
湖南茶频道,http://10.0.0.26:35455/itv/5000000011000031209.m3u8?cdn=bestzb


吉林卫视,http://10.0.0.26:35455/itv/5000000011000031117.m3u8?cdn=bestzb


江苏卫视,http://10.0.0.26:35455/itv/6000000001000014861.m3u8?cdn=wasusyt
江苏卫视,http://10.0.0.26:35455/itv/1000000001000001828.m3u8?cdn=ystenlive
江苏卫视,http://10.0.0.26:35455/itv/1000000005000265030.m3u8?cdn=ystenlive


江西卫视,http://10.0.0.26:35455/itv/1000000006000268001.m3u8?cdn=ystenlive
江西卫视,http://10.0.0.26:35455/itv/1000000005000265032.m3u8?cdn=ystenlive

辽宁卫视,http://10.0.0.26:35455/itv/5000000004000011671.m3u8?cdn=bestzb
辽宁卫视,http://10.0.0.26:35455/itv/1000000005000265022.m3u8?cdn=ystenlive


青海卫视,http://10.0.0.26:35455/itv/1000000002000013359.m3u8?cdn=ystenlive


山东卫视,http://10.0.0.26:35455/itv/1000000001000016568.m3u8?cdn=ystenlive
山东卫视,http://10.0.0.26:35455/itv/6000000001000004134.m3u8?cdn=wasusyt
山东卫视,http://10.0.0.26:35455/itv/1000000005000265019.m3u8?cdn=ystenlive


东方卫视,http://10.0.0.26:35455/itv/6000000001000003639.m3u8?cdn=wasusyt
东方卫视,http://10.0.0.26:35455/itv/5000000004000014098.m3u8?cdn=bestzb
东方卫视,http://10.0.0.26:35455/itv/1000000005000265018.m3u8?cdn=ystenlive
上海ICS,http://10.0.0.26:35455/itv/5000000010000030951.m3u8?cdn=bestzb
上海第一财经,http://10.0.0.26:35455/itv/5000000010000027146.m3u8?cdn=bestzb
东方财经,http://10.0.0.26:35455/itv/5000000007000010003.m3u8?cdn=bestzb
上海东方影视,http://10.0.0.26:35455/itv/5000000010000032212.m3u8?cdn=bestzb
上海都市,http://10.0.0.26:35455/itv/5000000010000018926.m3u8?cdn=bestzb
法治天地,http://10.0.0.26:35455/itv/2000000002000000014.m3u8?cdn=hnbblive
哈哈炫动,http://10.0.0.26:35455/itv/5000000011000031123.m3u8?cdn=bestzb
纪实人文,http://10.0.0.26:35455/itv/5000000004000010282.m3u8?cdn=bestzb
